start,end,pose,phone,word,confidence,word_index,speech_region_index,sentence_index,source_phone,source_phone_index,alignment_reason
0.530000,0.580000,D,D,did,1.0,0,0,-1,D,0,mfa_textgrid_phone
0.580000,0.640000,IH1,IH1,did,1.0,0,0,-1,IH1,1,mfa_textgrid_phone
0.640000,0.700000,D,D,did,1.0,0,0,-1,D,2,mfa_textgrid_phone
0.700000,0.790000,M,M,morgan,1.0,1,0,-1,M,0,mfa_textgrid_phone
0.790000,0.870000,AO1,AO1,morgan,1.0,1,0,-1,AO1,1,mfa_textgrid_phone
0.870000,0.930000,R,R,morgan,1.0,1,0,-1,R,2,mfa_textgrid_phone
0.930000,0.980000,G,G,morgan,1.0,1,0,-1,G,3,mfa_textgrid_phone
0.980000,1.040000,AH0,AH0,morgan,1.0,1,0,-1,AH0,4,mfa_textgrid_phone
1.040000,1.130000,N,N,morgan,1.0,1,0,-1,N,5,mfa_textgrid_phone
1.130000,1.190000,B,B,bring,1.0,2,0,-1,B,0,mfa_textgrid_phone
1.190000,1.250000,R,R,bring,1.0,2,0,-1,R,1,mfa_textgrid_phone
1.250000,1.300000,IH1,IH1,bring,1.0,2,0,-1,IH1,2,mfa_textgrid_phone
1.300000,1.350000,NG,NG,bring,1.0,2,0,-1,NG,3,mfa_textgrid_phone
1.350000,1.400000,IH0,IH0,enough,1.0,3,0,-1,IH0,0,mfa_textgrid_phone
1.400000,1.480000,N,N,enough,1.0,3,0,-1,N,1,mfa_textgrid_phone
1.480000,1.550000,AH1,AH1,enough,1.0,3,0,-1,AH1,2,mfa_textgrid_phone
1.550000,1.660000,F,F,enough,1.0,3,0,-1,F,3,mfa_textgrid_phone
1.660000,1.750000,P,P,paper,1.0,4,0,-1,P,0,mfa_textgrid_phone
1.750000,1.840000,EY1,EY1,paper,1.0,4,0,-1,EY1,1,mfa_textgrid_phone
1.840000,1.920000,P,P,paper,1.0,4,0,-1,P,2,mfa_textgrid_phone
1.920000,2.010000,ER0,ER0,paper,1.0,4,0,-1,ER0,3,mfa_textgrid_phone
2.010000,2.110000,F,F,for,1.0,5,0,-1,F,0,mfa_textgrid_phone
2.110000,2.140000,R,R,for,1.0,5,0,-1,R,1,mfa_textgrid_phone
2.140000,2.190000,ER0,ER0,for,1.0,5,0,-1,ER0,2,mfa_textgrid_phone
2.190000,2.280000,EH1,EH1,everyone,1.0,6,0,-1,EH1,0,mfa_textgrid_phone
2.280000,2.350000,V,V,everyone,1.0,6,0,-1,V,1,mfa_textgrid_phone
2.350000,2.390000,R,R,everyone,1.0,6,0,-1,R,2,mfa_textgrid_phone
2.390000,2.430000,IY0,IY0,everyone,1.0,6,0,-1,IY0,3,mfa_textgrid_phone
2.430000,2.510000,W,W,everyone,1.0,6,0,-1,W,4,mfa_textgrid_phone
2.510000,2.600000,AH2,AH2,everyone,1.0,6,0,-1,AH2,5,mfa_textgrid_phone
2.600000,2.696875,N,N,everyone,1.0,6,0,-1,N,6,mfa_textgrid_phone
