word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,you,1,said,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,said,2,'meet,",",",",region_break,1,comma_with_lull,0.250000,0.250000,0.250000,0.250000,0,1
2,'meet,3,me,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
3,me,4,at,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
4,at,5,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
5,the,6,station,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
6,station,7,',",",",",region_break,1,comma_with_lull,0.220000,0.220000,0.220000,0.220000,1,2
7,',8,so,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
8,so,9,that,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
9,that,10,is,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
10,is,11,exactly,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
11,exactly,12,where,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
12,where,13,i,,,none,0,none,0.000000,0.000000,0.000000,0.000000,2,2
