word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,i,0.160000,0.260000,0,-1,-1
1,think,0.260000,0.640000,0,-1,-1
2,you,0.640000,0.740000,0,-1,-1
3,meant,0.740000,1.020000,0,-1,-1
4,to,1.020000,1.120000,0,-1,-1
5,say,1.120000,1.510000,0,-1,-1
6,i,1.870000,2.050000,1,-1,-1
7,do,2.050000,2.340000,1,-1,-1
8,like,2.340000,2.630000,1,-1,-1
9,her,2.630000,2.780000,1,-1,-1
10,to,2.780000,2.870000,1,-1,-1
11,shave,2.870000,3.240000,1,-1,-1
12,my,3.240000,3.410000,1,-1,-1
13,boyfriend,3.410000,4.000000,1,-1,-1
14,lana's,4.320000,4.770000,2,-1,-1
15,a,4.770000,4.820000,2,-1,-1
16,good,4.820000,5.040000,2,-1,-1
17,friend,5.040000,5.380000,2,-1,-1
