start,end,pose,word,confidence,word_index,phrase_index,sentence_index
0.320000,0.390000,07_Aa,azerbaijan,1.0,0,0,0
0.680000,0.720000,22_MBP,azerbaijan,1.0,0,0,0
0.720000,0.790000,05_Ay,azerbaijan,1.0,0,0,0
0.790000,0.910000,14_ChJjSh,azerbaijan,1.0,0,0,0
0.910000,1.080000,07_Aa,azerbaijan,1.0,0,0,0
1.190000,1.280000,07_Aa,has,1.0,1,0,0
1.400000,1.460000,07_Aa,the,1.0,2,0,0
1.460000,1.630000,12_Ww-Oo-,world's,1.0,3,0,0
1.630000,1.750000,06_Eh,world's,1.0,3,0,0
1.940000,2.040000,20_FV,first,1.0,4,0,0
2.040000,2.160000,06_Eh,first,1.0,4,0,0
2.290000,2.490000,22_MBP,mud,1.0,5,0,0
2.490000,2.610000,07_Aa,mud,1.0,5,0,0
2.660000,2.740000,20_FV,volcano,1.0,6,0,0
2.740000,2.790000,07_Aa,volcano,1.0,6,0,0
2.980000,3.110000,06_Eh,volcano,1.0,6,0,0
3.170000,3.420000,09_Oh,volcano,1.0,6,0,0
