index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,12_Ww-Oo-,we've,0,0,0,0.015152,0.880000,W,0,cmu_w
1,03_Ee,we've,0,0,0,0.045455,0.920000,IY,1,cmu_front_vowel
2,20_FV,we've,0,0,0,0.075758,0.960000,V,2,cmu_fv
3,07_Aa,got,1,0,0,0.136364,0.920000,AA,1,cmu_open_vowel
4,06_Eh,turkey,2,0,0,0.232955,0.920000,ER,1,cmu_eh_vowel
5,03_Ee,turkey,2,0,0,0.301136,0.500000,IY,3,cmu_front_vowel
6,07_Aa,ham,3,1,0,0.363636,0.920000,AE,1,cmu_open_vowel
7,22_MBP,ham,3,1,0,0.393939,1.000000,M,2,cmu_bilabial
8,07_Aa,and,4,2,0,0.424242,0.500000,AH,0,cmu_open_vowel
9,20_FV,veggie,5,2,0,0.517045,0.960000,V,0,cmu_fv
10,06_Eh,veggie,5,2,0,0.551136,0.920000,EH,1,cmu_eh_vowel
11,14_ChJjSh,veggie,5,2,0,0.585227,0.820000,JH,2,cmu_affricate_sibilant
12,03_Ee,veggie,5,2,0,0.619318,0.500000,IY,3,cmu_front_vowel
13,12_Ww-Oo-,which,6,3,1,0.651515,0.880000,W,0,cmu_w
14,03_Ee,which,6,3,1,0.681818,0.920000,IH,1,cmu_front_vowel
15,14_ChJjSh,which,6,3,1,0.712121,0.820000,CH,2,cmu_affricate_sibilant
16,12_Ww-Oo-,one,7,3,1,0.742424,0.880000,W,0,cmu_w
17,07_Aa,one,7,3,1,0.772727,0.920000,AH,1,cmu_open_vowel
18,07_Aa,sounds,8,3,1,0.845455,0.920000,AW,1,cmu_open_vowel
19,11_Oo,good,9,3,1,0.954545,0.920000,UH,1,cmu_oo_vowel
