word_index,word,start,end,speech_region_index,sentence_index
0,a,0.390000,0.460000,0,-1
1,good,0.460000,0.780000,0,-1
2,explanation,0.830000,1.700000,0,-1
3,does,1.700000,2.020000,0,-1
4,more,2.020000,2.450000,0,-1
5,than,2.450000,2.660000,0,-1
6,state,2.660000,3.050000,0,-1
7,the,3.050000,3.210000,0,-1
8,answer,3.210000,3.770000,0,-1
9,it,4.220000,4.330000,1,-1
10,identifies,4.330000,5.110000,1,-1
11,the,5.110000,5.280000,1,-1
12,evidence,5.320000,5.940000,1,-1
13,connects,6.150000,6.600000,2,-1
14,each,6.630000,6.860000,2,-1
15,step,6.860000,7.270000,2,-1
16,admits,7.640000,8.100000,3,-1
17,uncertainty,8.150000,8.800000,3,-1
18,where,8.800000,9.060000,3,-1
19,it,9.060000,9.140000,3,-1
20,exists,9.140000,9.810000,3,-1
21,and,10.140000,10.340000,4,-1
22,leaves,10.340000,10.640000,4,-1
23,the,10.640000,10.770000,4,-1
24,listener,10.770000,11.270000,4,-1
25,able,11.340000,11.630000,4,-1
26,to,11.630000,11.780000,4,-1
27,repeat,11.780000,12.200000,4,-1
28,the,12.200000,12.300000,4,-1
29,reasoning,12.300000,12.930000,4,-1
