word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,we've,0.000000,0.530000,0,-1,-1
1,got,0.530000,0.770000,0,-1,-1
2,sandwiches,0.770000,1.600000,0,-1,-1
3,for,1.600000,1.780000,0,-1,-1
4,five,1.780000,2.310000,0,-1,-1
5,dollars,2.310000,2.730000,0,-1,-1
6,and,2.730000,2.860000,0,-1,-1
7,chips,2.860000,3.300000,0,-1,-1
8,for,3.300000,3.450000,0,-1,-1
9,two,3.450000,3.900000,0,-1,-1
10,what'll,4.230000,4.600000,1,-1,-1
11,it,4.600000,4.750000,1,-1,-1
12,be,4.750000,5.110000,1,-1,-1
