word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,they're,1,made,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,made,2,from,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,from,3,bread,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,bread,4,and,,,none,0,none,0.070000,0.070000,0.000000,0.070000,0,0
4,and,5,filled,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,filled,6,with,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,with,7,tasty,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
7,tasty,8,stuff,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
8,stuff,9,like,",",",",soft_pause,0,none,0.100000,0.100000,0.100000,0.100000,0,0
9,like,10,meat,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
10,meat,11,or,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
11,or,12,veggies,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
12,veggies,13,want,.,.,region_break,1,hard_punctuation_with_lull,0.370000,0.370000,0.370000,0.370000,0,1
13,want,14,to,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
14,to,15,try,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
15,try,16,one,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
