word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,did,1,you,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,you,2,know,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,know,3,turkey,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,turkey,4,sandwiches,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
4,sandwiches,5,were,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,were,6,popularized,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,popularized,7,in,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
7,in,8,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
8,the,9,nineteen,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
9,nineteen,10,twenties,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
