word_index,word,next_word_index,next_word,mark,mark_sequence,pause_class,split_applied,split_reason,direct_word_gap_seconds,phone_gap_seconds,wave_silence_seconds,acoustic_gap_seconds,speech_region_index_before,speech_region_index_after
0,we've,1,got,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
1,got,2,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
2,the,3,turkey,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
3,turkey,4,the,",",",",soft_pause,0,none,0.080000,0.080000,0.080000,0.080000,0,0
4,the,5,roast,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
5,roast,6,beef,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
6,beef,7,and,",",",",soft_pause,0,none,0.030000,0.030000,0.030000,0.030000,0,0
7,and,8,the,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
8,the,9,veggie,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
9,veggie,10,special,,,none,0,none,0.000000,0.000000,0.000000,0.000000,0,0
10,special,11,which,.,.,region_break,1,hard_punctuation_with_lull,0.160000,0.160000,0.160000,0.160000,0,1
11,which,12,one,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
12,one,13,sounds,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
13,sounds,14,good,,,none,0,none,0.000000,0.000000,0.000000,0.000000,1,1
