start,end,phone,word,confidence,word_index,speech_region_index,phone_index,sentence_index,alignment_reason
0.060000,0.180000,HH,how,1.0,0,0,0,-1,mfa_textgrid_phone
0.180000,0.250000,AW1,how,1.0,0,0,1,-1,mfa_textgrid_phone
0.250000,0.300000,M,many,1.0,1,0,0,-1,mfa_textgrid_phone
0.300000,0.330000,EH1,many,1.0,1,0,1,-1,mfa_textgrid_phone
0.330000,0.370000,N,many,1.0,1,0,2,-1,mfa_textgrid_phone
0.370000,0.420000,IY0,many,1.0,1,0,3,-1,mfa_textgrid_phone
0.420000,0.520000,B,bright,1.0,2,0,0,-1,mfa_textgrid_phone
0.520000,0.600000,R,bright,1.0,2,0,1,-1,mfa_textgrid_phone
0.600000,0.690000,AY1,bright,1.0,2,0,2,-1,mfa_textgrid_phone
0.690000,0.740000,T,bright,1.0,2,0,3,-1,mfa_textgrid_phone
0.740000,0.810000,R,red,1.0,3,0,0,-1,mfa_textgrid_phone
0.810000,0.880000,EH1,red,1.0,3,0,1,-1,mfa_textgrid_phone
0.880000,0.920000,D,red,1.0,3,0,2,-1,mfa_textgrid_phone
0.920000,1.050000,AE1,apples,1.0,4,0,0,-1,mfa_textgrid_phone
1.050000,1.130000,P,apples,1.0,4,0,1,-1,mfa_textgrid_phone
1.130000,1.160000,AH0,apples,1.0,4,0,2,-1,mfa_textgrid_phone
1.160000,1.230000,L,apples,1.0,4,0,3,-1,mfa_textgrid_phone
1.230000,1.310000,Z,apples,1.0,4,0,4,-1,mfa_textgrid_phone
1.310000,1.340000,W,will,1.0,5,0,0,-1,mfa_textgrid_phone
1.340000,1.350000,AH0,will,1.0,5,0,1,-1,mfa_textgrid_phone
1.350000,1.410000,L,will,1.0,5,0,2,-1,mfa_textgrid_phone
1.410000,1.560000,F,fit,1.0,6,0,0,-1,mfa_textgrid_phone
1.560000,1.630000,IH1,fit,1.0,6,0,1,-1,mfa_textgrid_phone
1.630000,1.680000,T,fit,1.0,6,0,2,-1,mfa_textgrid_phone
1.680000,1.750000,IH0,in,1.0,7,0,0,-1,mfa_textgrid_phone
1.750000,1.800000,N,in,1.0,7,0,1,-1,mfa_textgrid_phone
1.800000,1.840000,DH,that,1.0,8,0,0,-1,mfa_textgrid_phone
1.840000,1.930000,AE1,that,1.0,8,0,1,-1,mfa_textgrid_phone
1.930000,2.010000,B,basket,1.0,9,0,0,-1,mfa_textgrid_phone
2.010000,2.120000,AE1,basket,1.0,9,0,1,-1,mfa_textgrid_phone
2.120000,2.210000,S,basket,1.0,9,0,2,-1,mfa_textgrid_phone
2.210000,2.260000,K,basket,1.0,9,0,3,-1,mfa_textgrid_phone
2.260000,2.340000,AH0,basket,1.0,9,0,4,-1,mfa_textgrid_phone
2.340000,2.380000,T,basket,1.0,9,0,5,-1,mfa_textgrid_phone
